step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
273,89645.1,43144.2,-0.911636,-20.1494,-3.12786,1.1582,0,3,0
274,89645.3,43144,-0.911636,-20.1536,-3.12786,0.858226,0,3,0
275,89645.5,43143.7,-0.911636,-20.1577,-3.12786,0.558254,0,3,0
276,89645.7,43143.5,-0.911636,-20.1618,-3.12786,0.258283,0,3,0
277,89645.8,43143.3,-0.911636,-20.1659,-3.12786,-0.0416892,0,3,0
278,89646,43143,-0.911636,-20.17,-3.12786,-0.341661,0,3,0
279,89646.2,43142.8,-0.911636,-20.1742,-3.12786,-0.641633,0,3,0
280,89646.4,43142.6,-0.911636,-20.1783,-3.12786,-0.941604,0,3,0
281,89646.6,43142.3,-0.911636,-20.1824,-3.12786,-1.24158,0,3,0
282,89646.8,43142.1,-0.911636,-20.1865,-3.12786,-1.54155,0,3,0
283,89646.9,43141.8,-0.911636,-20.1906,-3.12786,-1.84152,0,3,0
284,89647.1,43141.6,-0.911636,-20.1947,-3.12786,-2.14149,0,3,0
285,89647.3,43141.4,-0.911636,-20.1989,-3.12786,-2.44146,0,3,0
286,89647.5,43141.1,-0.911636,-20.203,-3.12786,-2.74143,0,3,0
287,89647.7,43140.9,-0.911636,-20.2071,-3.12786,-3.04141,0,3,0
288,89647.9,43140.7,-0.911636,-20.2112,-3.12786,-3.34138,0,3,0
289,89648,43140.4,-0.911636,-20.2153,-3.12786,-3.64135,0,3,0
290,89648.2,43140.2,-0.911636,-20.2195,-3.12786,-3.94132,0,3,0
291,89648.4,43140,-0.911636,-20.2236,-3.12786,-4.24129,0,3,0
292,89648.6,43139.7,-0.911636,-20.2277,-3.12786,-4.54126,0,3,0
293,89648.8,43139.5,-0.911636,-20.2318,-3.12786,-4.84124,0,3,0
294,89649,43139.2,-0.911636,-20.2359,-3.12786,-5.14121,0,3,0
295,89649.1,43139,-0.911636,-20.2401,-3.12786,-5.44118,0,3,0
296,89649.3,43138.8,-0.911636,-20.2442,-3.12786,-5.74115,0,3,0
297,89649.5,43138.5,-0.911636,-20.2483,-3.12786,-6.04112,0,3,0
298,89649.7,43138.3,-0.911636,-20.2524,-3.12786,-6.3411,0,3,0
299,89649.9,43138.1,-0.911636,-20.2565,-3.12786,-6.64107,0,3,0
300,89650.1,43137.8,-0.911636,-20.2607,-3.12786,-6.94104,0,3,0
301,89650.3,43137.6,-0.911636,-20.2648,-3.12786,-7.24101,0,3,0
